Time results were received,MD5 hash of participant's IP address,Controller name,Item number,Element number,Type,Group,Word number,Word,Reading time,Newline,Sentence (or sentence MD5)
1609590025,a4da1f176adfea0b761238da725fd6e8,DashedSentence,15,0,filler-bad-01,NULL,6,he,133,FALSE,When Tyler sneezed the driver%2C he passed a tissue.
1609590025,a4da1f176adfea0b761238da725fd6e8,DashedSentence,15,0,filler-bad-01,NULL,7,passed,123,FALSE,When Tyler sneezed the driver%2C he passed a tissue.
1609590025,a4da1f176adfea0b761238da725fd6e8,DashedSentence,15,0,filler-bad-01,NULL,8,a,265,FALSE,When Tyler sneezed the driver%2C he passed a tissue.
1609590025,a4da1f176adfea0b761238da725fd6e8,DashedSentence,15,0,filler-bad-01,NULL,9,tissue.,277,FALSE,When Tyler sneezed the driver%2C he passed a tissue.
1609590025,a4da1f176adfea0b761238da725fd6e8,DashedSentence,12,0,gp.trans,2,1,Since,287,FALSE,Since Dave improved the department was satisfied.
1609590025,a4da1f176adfea0b761238da725fd6e8,DashedSentence,12,0,gp.trans,2,2,Dave,143,FALSE,Since Dave improved the department was satisfied.
1609590025,a4da1f176adfea0b761238da725fd6e8,DashedSentence,12,0,gp.trans,2,3,improved,108,FALSE,Since Dave improved the department was satisfied.
1609590025,a4da1f176adfea0b761238da725fd6e8,DashedSentence,12,0,gp.trans,2,4,the,124,FALSE,Since Dave improved the department was satisfied.
1609590025,a4da1f176adfea0b761238da725fd6e8,DashedSentence,12,0,gp.trans,2,5,department,135,FALSE,Since Dave improved the department was satisfied.
1609590025,a4da1f176adfea0b761238da725fd6e8,DashedSentence,12,0,gp.trans,2,6,was,122,FALSE,Since Dave improved the department was satisfied.
1609590025,a4da1f176adfea0b761238da725fd6e8,DashedSentence,12,0,gp.trans,2,7,satisfied.,127,FALSE,Since Dave improved the department was satisfied.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,4,0,practice-1,NULL,1,The,374,FALSE,The car drove like a dream.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,4,0,practice-1,NULL,2,car,315,FALSE,The car drove like a dream.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,4,0,practice-1,NULL,3,drove,241,FALSE,The car drove like a dream.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,4,0,practice-1,NULL,4,like,355,FALSE,The car drove like a dream.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,4,0,practice-1,NULL,5,a,291,FALSE,The car drove like a dream.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,4,0,practice-1,NULL,6,dream.,266,FALSE,The car drove like a dream.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,6,0,practice-2,NULL,1,The,179,FALSE,The cat ever has eaten cheese the.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,6,0,practice-2,NULL,2,cat,159,FALSE,The cat ever has eaten cheese the.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,6,0,practice-2,NULL,3,ever,158,FALSE,The cat ever has eaten cheese the.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,6,0,practice-2,NULL,4,has,139,FALSE,The cat ever has eaten cheese the.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,6,0,practice-2,NULL,5,eaten,140,FALSE,The cat ever has eaten cheese the.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,6,0,practice-2,NULL,6,cheese,189,FALSE,The cat ever has eaten cheese the.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,6,0,practice-2,NULL,7,the.,307,FALSE,The cat ever has eaten cheese the.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,14,0,filler-good-01,NULL,1,When,192,FALSE,When Harry fell%2C the audience was shocked.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,14,0,filler-good-01,NULL,2,Harry,162,FALSE,When Harry fell%2C the audience was shocked.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,14,0,filler-good-01,NULL,3,fell%2C,146,FALSE,When Harry fell%2C the audience was shocked.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,14,0,filler-good-01,NULL,4,the,156,FALSE,When Harry fell%2C the audience was shocked.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,14,0,filler-good-01,NULL,5,audience,234,FALSE,When Harry fell%2C the audience was shocked.
1609648741,a4da1f176adfea0b761238da725fd6e8,DashedSentence,14,0,filler-good-01,NULL,6,was,277,FALSE,When Harry fell%2C the audience was shocked.
